ID,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,pontos_mandante,chutes_mandante,chutes_no_alvo_mandante,posse_de_bola_mandante,passes_mandante,precisao_passes_mandante,faltas_mandante,cartao_amarelo_mandante,cartao_vermelho_mandante,impedimentos_mandante,escanteios_mandante,pontos_visitante,chutes_visitante,chutes_no_alvo_visitante,posse_de_bola_visitante,passes_visitante,precisao_passes_visitante,faltas_visitante,cartao_amarelo_visitante,cartao_vermelho_visitante,impedimentos_visitante,escanteios_visitante
1,1,29/3/2003,16:00,Guarani,Vasco,,,,,Guarani,Brinco de Ouro,4,2,SP,RJ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,29/3/2003,16:00,Athletico-PR,Gremio,,,,,Athletico-PR,Arena da Baixada,2,0,PR,RS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,30/3/2003,16:00,Flamengo,Coritiba,,,,,-,Maracanã Flamengo,1,1,RJ,PR,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,1,30/3/2003,16:00,Goias,Paysandu,,,,,-,Serra Dourada,2,2,GO,PA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,1,30/3/2003,16:00,Internacional,Ponte Preta,,,,,-,Beira Rio,1,1,RS,SP,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,1,30/3/2003,16:00,Criciuma,Fluminense,,,,,Criciuma,Heriberto Hulse,2,0,SC,RJ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,30/3/2003,16:00,Juventude,Sao Paulo,,,,,-,Alfredo Jaconi,2,2,RS,SP,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,1,30/3/2003,16:00,Fortaleza,Bahia,,,,,-,Castelão Fortaleza,0,0,CE,BA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,1,30/3/2003,16:00,Cruzeiro,Sao Caetano,,,,,-,Mineirão Cruzeiro,2,2,MG,SP,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,1,30/3/2003,16:00,Vitoria,Figueirense,,,,,-,Barradão,1,1,BA,SC,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,1,30/3/2003,18:00,Santos,Parana,,,,,-,Vila Belmiro,2,2,SP,PR,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,1,30/3/2003,18:00,Corinthians,Atletico-MG,,,,,Atletico-MG,Pacaembu,0,3,SP,MG,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
13,2,5/4/2003,16:00,Fluminense,Fortaleza,,,,,-,Maracanã Fluminense,1,1,RJ,CE,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,2,5/4/2003,16:00,Atletico-MG,Santos,,,,,-,Mineirão Atlético,0,0,MG,SP,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,2,5/4/2003,16:00,Coritiba,Internacional,,,,,Internacional,Couto Pereira,0,1,PR,RS,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
